
2015-12-13 18:00:52 +0000 [29782227797720] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:55 +0000 [29784920271410] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:57 +0000 [29786773665588] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-13 18:00:58 +0000 [29787712301630] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:59 +0000 [29788681986480] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:59 +0000 [29788700782462] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:59 +0000 [29788824526977] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:00:59 +0000 [29788827529025] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-13 18:00:59 +0000 [29789280075037] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:07:58 +0000 [30207669898979] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:07:58 +0000 [30208581364340] <Label.swift:92> intrinsicContentSize()  gutter: {150.5, 0, 0, 0}; intrinsicContentSize: {50.5, 169}
2015-12-13 18:09:29 +0000 [30299626886087] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:09:30 +0000 [30300564017444] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:10:50 +0000 [30380498392237] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 18:10:51 +0000 [30381439297220] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 19:30:38 +0000 [32798409037279] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
2015-12-13 19:30:39 +0000 [32799352369965] <Label.swift:92> intrinsicContentSize()  gutter: {0, 0, 0, 0}; intrinsicContentSize: {28, 14.5}
