Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Eskimo Hexatonic 2 (North America),(Alaska:Point Hope),1 2 3 4# 5# 7 .,101010101001,6,3.5333,C D E F# G# B .,(L) (L) (L) (L) (L+s) (s),8-248-1 .,E,Bm,C+,G#dim
Theoretical - No Known Name,,1 4 4# 5 6 7b .,100001110110,6,3.5333,C F F# G A Bb .,(2L+s) (L-s) (s) (L) (s) (L),8-578-3 .,F,,,
Theoretical - No Known Name,,1 3 5 5# 6 7 .,100010011101,6,3.5333,C E G G# A B .,(2L) (L+s) (L-s) (s) (L) (s),8-378-1 .,C E,Em Am,C+,
Theoretical - No Known Name,,1 3b 4 5 6 7 .,100101010101,6,3.5333,C Eb F G A B .,(L+s) (L) (L) (L) (L) (s),8-268-4 .,F,Cm,Eb+,Adim
Theoretical - No Known Name,,1 2 4 5b 6b 7b .,101001101010,6,3.5333,C D F Gb Ab Bb .,(L) (L+s) (s) (L) (L) (L),8-248-7 .,Bb,Fm,Gb+,Ddim
Theoretical - No Known Name,,1 2 3 5 6b 7b .,101010011010,6,3.5333,C D E G Ab Bb .,(L) (L) (L+s) (s) (L) (L),8-248-5 .,C,Gm,Ab+,Edim
Theoretical - No Known Name,,1 2 3 4# 5 7b .,101010110010,6,3.5333,C D E F# G Bb .,(L) (L) (L) (s) (L+s) (L),8-268-3 .,C,Gm,Bb+,Edim
Theoretical - No Known Name,,1 2 3 4 6b 7b .,101011001010,6,3.5333,C D E F Ab Bb .,(L) (L) (s) (L+s) (L) (L),8-268-5 .,Bb,Fm,Ab+,Ddim
Theoretical - No Known Name,,1 2 3b 5 7b 7 .,101100010011,6,3.5333,C D Eb G Bb B .,(L) (s) (2L) (L+s) (L-s) (s),8-378-4 .,Eb G,Cm Gm,Eb+,
Theoretical - No Known Name,,1 2 3b 4 7b 7 .,101101000011,6,3.5333,C D Eb F Bb B .,(L) (s) (L) (2L+s) (L-s) (s),8-578-4 .,Bb,,,Bdim
Theoretical - No Known Name,,1 2 3b 4 5b 5 .,101101110000,6,3.5333,C D Eb F Gb G .,(L) (s) (L) (s) (L-s) (2L+s),8-235-7 .,,Cm,,Cdim
Theoretical - No Known Name,,1 2 3b 3 6 7 .,101110000101,6,3.5333,C D Eb E A B .,(L) (s) (L-s) (2L+s) (L) (s),8-235-4 .,,Am,,Adim
Theoretical - No Known Name,,1 2 3b 3 5 7 .,101110010001,6,3.5333,C D Eb E G B .,(L) (s) (L-s) (L+s) (2L) (s),8-237-4 .,C G,Cm Em,Eb+,
Theoretical - No Known Name,,1 2b 4 6b 6 7b .,110001001110,6,3.5333,C Db F Ab A Bb .,(s) (2L) (L+s) (L-s) (s) (L),8-378-6 .,Db F,Fm Bbm,Db+,
Theoretical - No Known Name,,1 1# 3 5# 6 7 .,110010001101,6,3.5333,C C# E G# A B .,(L-s) (L+s) (2L) (s) (L) (s),8-237-1 .,E A,C#m Am,C+,
Theoretical - No Known Name,,1 2b 3b 4b 6b 8b .,110110001001,6,3.5333,C Db Eb Fb Ab Cb .,(s) (L) (s) (2L) (L+s) (L-s),8-378-9 .,Fb Ab,Dbm Abm,Fb+,
Theoretical - No Known Name,,1 2b 3b 4b 5b 8b .,110110100001,6,3.5333,C Db Eb Fb Gb Cb .,(s) (L) (s) (L) (3L-s) (s),8-578-9 .,Cb,,Cb+,Cdim
Theoretical - No Known Name,,1 2b 3b 4b 4 b7 .,110111000010,6,3.5333,C Db Eb Fb F Bb .,(s) (L) (s) (L-s) (2L+s) (L),8-235-9 .,,,,
Theoretical - No Known Name,,1 2b 3b 4b 4 6b .,110111001000,6,3.5333,C Db Eb Fb F Ab .,(s) (L) (s) (L-s) (L+s) (2L),8-237-9 .,Db Ab,Dbm Fm,Fb+,
Theoretical - No Known Name,,1 1# 2 3 4 6 .,111011000100,6,3.5333,C C# D E F A .,(L-s) (s) (L) (s) (2L) (L+s),8-378-2 .,F A,Dm Am,F+,
Theoretical - No Known Name,,1 1# 2 3 4 5 .,111011010000,6,3.5333,C C# D E F G .,(L-s) (s) (L) (s) (L) (2L+s),8-578-2 .,C,,,C#dim
Theoretical - No Known Name,,1 2 3 4 4# 6 7b 7 .,101011100111,8,3.5357,C D E F F# A Bb B .,(L) (L) (s) (L-s) (L+s) (s) (L-s) (s),8-4-3 .,D F Bb,Dm Am Bm,Bb+,Bdim
Theoretical - No Known Name,,1 2 2# 3 5 5# 6 7b .,101110011110,8,3.5357,C D Eb E G Ab A Bb .,(L) (s) (L-s) (L+s) (s) (L-s) (s) (L),8-4-5 .,C,Gm Am,C+,Edim
Theoretical - No Known Name,,1 2 3b 3 4 6b 6 7b .,101111001110,8,3.5357,C D Eb E F Ab A Bb .,(L) (s) (L-s) (s) (L+s) (L-s) (s) (L),8-6-5 .,F Ab Bb,Dm Fm Am,Ab+,Ddim Adim
Theoretical - No Known Name,,1 2b 3b 4 5b 5 7b 8b .,110101110011,8,3.5357,C Db Eb F Gb G Bb Cb .,(s) (L) (L) (s) (L-s) (L+s) (s) (L-s),8-4-8 .,Eb Gb Cb,Cm Ebm Bbm,Cb+,Cdim Gdim
Theoretical - No Known Name,,1 1# 2 4 4# 5 6 7 .,111001110101,8,3.5357,C C# D F F# G A B .,(L-s) (s) (L+s) (L-s) (s) (L) (L) (s),8-6-2 .,D F G,Dm F#m Bm,F+,F#dim Bdim
Theoretical - No Known Name,,1 1# 2 3 4# 5 5# 7 .,111010111001,8,3.5357,C C# D E F# G G# B .,(L-s) (s) (L) (L) (s) (L-s) (L+s) (s),8-4-1 .,C E G,C#m Em Bm,C+,C#dim G#dim
Theoretical - No Known Name,,1 1# 2 3 4# 5 5# 6 .,111010111100,8,3.5357,C C# D E F# G G# A .,(L-s) (s) (L) (L) (s) (L-s) (s) (L+s),8-6-1 .,C D A,C#m F#m Am,C+,C#dim F#dim
Theoretical - No Known Name,,1 2b 2 3b 4 5 6b 6 .,111101011100,8,3.5357,C Db D Eb F G Ab A .,(s) (L-s) (s) (L) (L) (s) (L-s) (L+s),8-4-6 .,Db F Ab,Cm Dm Fm,Db+,Ddim Adim
