Name Of Scale,Alternative Scale Names,Ascending Note Positions in Scale,Binary 12notes 1&0,Number Of Notes In Scale,DissonanceIndex,Note Names from C,L and s Interval Sequence,ScaleCoding,Major Triads,Minor Triads,Aug. Triads,Dim. Triads
Theoretical - No Known Name,,1 2 3 4 4# 5 7b 7 .,101011110011,8,3.5357,C D E F F# G Bb B .,(L) (L) (s) (L-s) (s) (L+s) (L-s) (s),8-6-3 .,C G Bb,Em Gm Bm,Bb+,Edim Bdim
Theoretical - No Known Name,,1 2b 2 3b 5b 5 6b 7b .,111100111010,8,3.5357,C Db D Eb Gb G Ab Bb .,(s) (L-s) (s) (L+s) (L-s) (s) (L) (L),8-6-7 .,Eb Gb Ab,Cm Ebm Gm,Gb+,Cdim Gdim
Theoretical - No Known Name,,1 3 4 4# 5 6 7b 7 .,100011110111,8,3.5714,C E F F# G A Bb B .,(2L) (s) (L-s) (s) (L) (s) (L-s) (s),8-5-3 .,C F,Em Am,,Edim
Theoretical - No Known Name,,1 3b 4 5b 5 6b 6 7b .,100101111110,8,3.5714,C Eb F Gb G Ab A Bb .,(L+s) (L) (s) (L-s) (s) (L-s) (s) (L),9-29-7 .,Eb F Ab,Cm Ebm Fm,,Cdim Adim
Theoretical - No Known Name,,1 2 4 5 6b 6 7b 7 .,101001011111,8,3.5714,C D F G Ab A Bb B .,(L) (L+s) (L) (s) (L-s) (s) (L-s) (s),9-29-5 .,F G Bb,Dm Fm Gm,,Ddim Bdim
Theoretical - No Known Name,,1 2 3b 3 4 6 b7 7 .,101111000111,8,3.5714,C D Eb E F A Bb B .,(L) (s) (L-s) (s) (2L) (s) (L-s) (s),8-5-4 .,F,Dm Am,,Adim Bdim
Theoretical - No Known Name,,1 2 3b 3 4 4# 5 6 .,101111110100,8,3.5714,C D Eb E F F# G A .,(L) (s) (L-s) (s) (L-s) (s) (L) (L+s),9-29-4 .,C D F,Cm Dm Am,,Adim
Theoretical - No Known Name,,1 2b 4 5b 5 6b 7b 8b .,110001111011,8,3.5714,C Db F Gb G Ab Bb Cb .,(s) (2L) (s)  (L-s) (s) (L) (s) (L-s),8-5-8 .,Db Gb,Fm Bbm,,Fdim Gdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 7b 8b .,110111100011,8,3.5714,C Db Eb Fb F Gb Bb Cb .,(s) (L) (s) (L-s) (s) (2L) (s) (L-s),8-5-9 .,Gb Cb,Ebm Bbm,Cb+,Cdim Bbdim
Theoretical - No Known Name,,1 1# 2 4# 5 5# 6 7 .,111000111101,8,3.5714,C C# D F# G G# A B .,(L-s) (s) (2L) (s) (L-s) (s) (L) (s),8-5-1 .,D G,F#m Bm,,F#dim G#dim
Theoretical - No Known Name,,1 1# 2 3 5 6 7b 7 .,111010010111,8,3.5714,C C# D E G A Bb B .,(L-s) (s) (L) (L+s) (L) (s) (L-s) (s),9-29-3 .,C G A,Em Gm Am,,C#dim Edim
Theoretical - No Known Name,,1 1# 2 3 4 4# 5 7 .,111011110001,8,3.5714,C C# D E F F# G B .,(L-s) (s) (L) (s) (L-s) (s) (2L) (s),8-5-2 .,C G,Em Bm,,C#dim Bdim
Theoretical - No Known Name,,1 2b 2 3b 5 6b 6 7b .,111100011110,8,3.5714,C Db D Eb G Ab A Bb .,(s) (L-s) (s) (2L) (s) (L-s) (s) (L),8-5-6 .,Eb Ab,Cm Gm,,Gdim Adim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 5 6b .,111101111000,8,3.5714,C Db D Eb F Gb G Ab .,(s) (L-s) (s) (L) (s) (L-s) (s) (2L),8-5-7 .,Db Ab,Cm Fm,,Cdim Ddim
Theoretical - No Known Name,,1 2b 2 3b 4 6b 7b 8b .,111101001011,8,3.5714,C Db D Eb F Ab Bb Cb .,(s) (L-s) (s) (L) (L+s) (L) (L) (L-s),9-29-8 .,Db Ab Bb,Fm Abm Bbm,,Ddim Fdim
Theoretical - No Known Name 3# s,,1 1# 2 2# 3 4# 6 7 .,111110100101,8,3.5714,C C# D D# E F# A B .,(L-s) (s) (L-s) (s) (L) (L+s) (L) (s),9-29-1 .,D A B,F#m Am Bm,,D#dim F#dim
Altered Pentatonic,Raga Manaranjani II,1 2b 4 5 6 .,110001010100,5,3.6,C Db F G A .,(s) (2L) (L) (L) (L+s),8-2348-6 .,F,,Db+,
"Raga Nata,  Madhuranjani (India)",Udayaravicandrika,1 3b 4 5 7 .,100101010001,5,3.6,C Eb F G B .,(L+s) (L) (L) (2L) (s),8-2678-4 .,,Cm,Eb+,
"Raga Zilaf, (India)",,1 3 4 5 6b .,100011011000,5,3.6,C E F G Ab .,(2L) (s) (L) (s) (2L),8-2378-5 .,C,Fm,Ab+,
Theoretical - No Known Name,,1 1# 2 4# 7 .,111000100001,5,3.6,C C# D F# B .,(L-s) (s) (2L) (2L+s) (s),7-245-1 .,,Bm,,
Theoretical - No Known Name,,1 3 6 7b 7 .,100010000111,5,3.6,C E A Bb B .,(2L) (2L+s) (s) (L-s) (s),7-245-3 .,,Am,,
Theoretical - No Known Name,,1 2b 2 3b 5 .,111100010000,5,3.6,C Db D Eb G .,(s) (L-s) (s) (2L) (2L+s),7-245-6 .,,Cm,,
Theoretical - No Known Name,,1 4 5b 5 6b .,100001111000,5,3.6,C F Gb G Ab .,(2L+s) (s) (L-s) (s) (2L),7-245-7 .,,Fm,,
Theoretical - No Known Name,,1 1# 2 3 4# .,111010100000,5,3.6,C C# D E F# .,(L-s) (s) (L) (L) (2L+2s),7-246-1 .,,,,
Theoretical - No Known Name,,1 2 3 7b 7 .,101010000011,5,3.6,C D E Bb B .,(L) (L) (2L+2s) (L-s) (s),7-246-3 .,,,,
Theoretical - No Known Name,,1 2 6b 6 7b .,101000001110,5,3.6,C D Ab A Bb .,(L) (2L+2s) (L-s) (s) (L),7-246-5 .,,,,
Theoretical - No Known Name,,1 5b 5 6b 7b .,100000111010,5,3.6,C Gb G Ab Bb .,(2L+2s) (L-s) (s) (L) (L),7-246-7 .,,,,
Theoretical - No Known Name,,1 2b 3b 4 8b .,110101000001,5,3.6,C Db Eb F Cb .,(s) (L) (L) (2L+2s) (L-s),7-246-8 .,,,,
Theoretical - No Known Name,,1 1# 2 4# 6 .,111000100100,5,3.6,C C# D F# A .,(L-s) (s) (2L) (L+s) (L+s),7-256-1 .,D,F#m,,F#dim
Theoretical - No Known Name,,1 3 5 7b 7 .,100010010011,5,3.6,C E G Bb B .,(2L) (L+s) (L+s) (L-s) (s),7-256-3 .,C,Em,,Edim
Theoretical - No Known Name,,1 3b 3 4 6 .,100111000100,5,3.6,C Eb E F A .,(L+s) (L-s) (s) (2L) (L+s),7-256-4 .,F,Am,,Adim
Theoretical - No Known Name,,1 3b 5b 5 6b .,100100111000,5,3.6,C Eb Gb G Ab .,(L+s) (L+s) (L-s) (s) (2L),7-256-7 .,Ab,Cm,,Cdim
Raga Kshanika (India),,1 2b 4 6b 8b .,110001001001,5,3.6,C Db F Ab Cb .,(s) (2L) (L+s) (L+s) (L-s),7-256-8 .,Db,Fm,,Fdim
Theoretical - No Known Name,,1 3 4 4# 6 .,100011100100,5,3.6,C E F F# A .,(2L) (s) (L-s) (L+s) (L+s),7-347-2 .,F,Am,,
Theoretical - No Known Name,,1 3b 5 6b 6 .,100100011100,5,3.6,C Eb G Ab A .,(L+s) (2L) (s) (L-s) (L+s),7-347-5 .,Ab,Cm,,Adim
Theoretical - No Known Name,,1 2b 2 4 6b .,111001001000,5,3.6,C Db D F Ab .,(s) (L-s) (L+s) (L+s) (2L),7-347-6 .,Db,Fm,,Ddim
Half Diminished plus b8,,1 3b 5b 7b 8b .,100100100011,5,3.6,C Eb Gb Bb Cb .,(L+s) (L+s) (2L) (s) (L-s),7-347-8 .,Cb,Ebm,Cb+,Cdim
Theoretical - No Known Name,,1 1# 3 5 7 .,110010010001,5,3.6,C C# E G B .,(L-s) (L+s) (L+s) (2L) (s),7-347-1 .,C,Em,,C#dim
Theoretical - No Known Name,,1 1# 5 6 7 .,110000010101,5,3.6,C C# G A B .,(L-s) (2L+2s) (L) (L) (s),7-357-1 .,,,,
Theoretical - No Known Name,,1 2 3 4 4# .,101011100000,5,3.6,C D E F F# .,(L) (L) (s) (L-s) (2L+2s),7-357-2 .,,,,
Theoretical - No Known Name,,1 2 3b 3 7b .,101110000010,5,3.6,C D Eb E Bb .,(L) (s) (L-s) (2L+2s) (L),7-357-4 .,,,,
Theoretical - No Known Name,,1 2b 2 6b 7b .,111000001010,5,3.6,C Db D Ab Bb .,(s) (L-s) (2L +2s) (L) (L),7-357-6 .,,,,
Theoretical - No Known Name,,1 5b 6b 7b 8b .,100000101011,5,3.6,C Gb Ab Bb Cb .,(2L+2s) (L) (L) (s) (L-s),7-357-8 .,,,,
Raga Hejjajji (India),,1 1# 3 4# 5# 6 .,110010101100,6,3.6,C C# E F# G# A .,(L-s) (L+s) (L) (L) (s) (L+s),8-236-1 .,A,C#m F#m Am,C+,F#dim
"Raga Bhupeshwari, Janasammodini (India)",,1 2 3 5 6b .,101010011000,5,3.6,C D E G Ab .,(L) (L) (L+s) (s) (2L),8-2348-5 .,C,,Ab+,
Theoretical - No Known Name,,1 4 6 7b 7 .,100001000111,5,3.6,C F A Bb B .,(2L+s) (2L) (s) (L-s) (s),7-457-3 .,F,,,
Theoretical - No Known Name,,1 3 5# 6 7 .,100010001101,5,3.6,C E G# A B .,(2L) (2L) (s) (L) (s),8-2378-1 .,E,Am,C+,
Theoretical - No Known Name,,1 3 4# 5# 7 .,100010101001,5,3.6,C E F# G# B .,(2L) (L) (L) (L+s) (s),8-2348-1 .,E,,C+,
Theoretical - No Known Name,,1 3 4 6b 7b .,100011001010,5,3.6,C E F Ab Bb .,(2L) (s) (L+s) (L) (L),8-2678-5 .,,Fm,Ab+,
Theoretical - No Known Name,,1 3 4 4# 5 .,100011110000,5,3.6,C E F F# G .,(2L) (s) (L-s) (s) (2L+s),7-457-2 .,C,,,
Theoretical - No Known Name,,1 3b 3 5 6b 7b .,100110011010,6,3.6,C Eb E G Ab Bb .,(L+s) (L-s) (L+s) (s) (L) (L),8-478-5 .,C Eb Ab,Cm,Ab+,Edim
Theoretical - No Known Name,,1 2 4# 5 7b .,101000110010,5,3.6,C D F# G Bb .,(L) (2L) (s) (L+s) (L),8-2678-3 .,,Gm,Bb+,
Theoretical - No Known Name,,1 2 4 4# 6 7b .,101001100110,6,3.6,C D F F# A Bb  .,(L) (L+s) (L-s) (L+s) (s) (L),8-478-3 .,D F Bb,Dm,Bb+,
Theoretical - No Known Name,,1 2 3 5# 6 .,101010001100,5,3.6,C D E G# A .,(L) (L) (2L) (s) (L+s),8-2678-1 .,,Am,C+,
Theoretical - No Known Name,,1 2 3b 5 7 .,101100010001,5,3.6,C D Eb G B .,(L) (s) (2L) (2L) (s),8-2378-4 .,G,Cm,Eb+,
Theoretical - No Known Name,,1 2b 5b 7b b8 .,110000100011,5,3.6,C Db Gb Bb Cb .,(s) (2L+s) (2L) (s) (L-s),7-457-8 .,Gb,,,
Theoretical - No Known Name,,1 2b 4 6 7b .,110001000110,5,3.6,C Db F A Bb .,(s) (2L) (2L) (s) (L),8-2378-6 .,F,Bbm,Db+,
Theoretical - No Known Name,,1 2b 3b 4b 6b .,110110001000,5,3.6,C Db Eb Fb Ab .,(s) (L) (s) (2L) (2L),8-2378-9 .,Ab,Dbm,Fb+,
Theoretical - No Known Name,,1 1# 2 5 7 .,111000010001,5,3.6,C C# D G B .,(L-s) (s) (2L+s) (2L) (s),7-457-1 .,G,,,
Theoretical - No Known Name,,1 2b 2 3b 6b .,111100001000,5,3.6,C Db D Eb Ab .,(s) (L-s) (s) (2L+s) (2L),7-457-6 .,Ab,,,
Lydian b3 Hexatonic,,1 3b 3 5 6 7 .,100110010101,6,3.6,C Eb E G A B .,(L+s) (L-s) (L+s) (L) (L) (s),8-236-4 .,C,Cm Em Am,Eb+,Adim
Theoretical - No Known Name,,1 2 3b 3 6b 6 7b 7 .,101110001111,8,3.6071,C D Eb E Ab A Bb B .,(L) (s) (L-s) (L+2s) (L-s) (s) (L-s) (s),9-46-5 .,Ab,Am,Ab+,Adim
Theoretical - No Known Name,,1 2 3b 3 4 4# 7b 7 .,101111100011,8,3.6071,C D Eb E F F# Bb B .,(L) (s) (L-s) (s) (L-s) (L+2s) (L-s) (s),9-57-4 .,Bb,Bm,Bb+,Bdim
Theoretical - No Known Name,,1 1# 4 4# 5 6 7b 7 .,110001110111,8,3.6071,C C# F F# G A Bb B .,(L-s) (L+2s) (L-s) (s) (L) (s) (L-s) (s),9-57-3 .,F,F#m,F+,F#dim
Theoretical - No Known Name,,1 1# 4 4# 5 5# 6 7 .,110001111101,8,3.6071,C C# F F# G G# A B .,(L-s) (L+2s) (L-s) (s) (L-s) (s) (L) (s),9-46-2 .,F,F#m,F+,F#dim
Theoretical - No Known Name,,1 2b 3 4# 5 6 7b 7 .,110010110111,8,3.6071,C Db E F# G A Bb B .,(s) (2L-s) (L) (s) (L) (s) (L-s) (s),11-2358-6 .,C,Em Am,,Edim Gdim
Theoretical - No Known Name,,1 2b 3b 4b 4 7bb 7b 8b .,110111000111,8,3.6071,C Db Eb Fb F Bbb Bb Cb .,(s) (L) (s) (L-s) (L+2s) (L-s) (s) (L-s),9-46-10 .,Bbb,Bbm,Bbb+,Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 5 8b .,110111110001,8,3.6071,C Db Eb Fb F Gb G Cb .,(s) (L) (s) (L-s) (s) (L-s)(L+2s) (L-s),9-57-9 .,Cb,Cm,Cb+,Cdim
Theoretical - No Known Name,,1 1# 2 3 4 4# 7b 7 .,111011100011,8,3.6071,C C# D E F F# Bb B .,(L-s) (s) (L) (s) (L-s) (L+2s) (L-s) (s),9-46-3 .,Bb,Bm,Bb+,Bdim
Theoretical - No Known Name,,1 1# 2 3 4 4# 5 5# .,111011111000,8,3.6071,C C# D E F F# G G# .,(L-s) (s) (L) (s) (L-s) (s) (L-s) (L+2s),9-57-2 .,C,C#m,C+,C#dim
Theoretical - No Known Name,,1 1# 2 2# 4# 5# 6 7 .,111100101101,8,3.6071,C C# D D# F# G# A B .,(L-s) (s) (L-s) (L+s) (L) (s) (L) (s),9-25-1 .,D B,F#m G#m Bm,,D#dim F#dim G#dim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 5 8b .,111101110001,8,3.6071,C Db D Eb F Gb G Cb .,(s) (L-s) (s) (L) (s) (L-s) (L+2s) (L-s),9-46-8 .,Cb,Cm,Cb+,Cdim
Theoretical - No Known Name,,1 2 3 4 4# 5 5# 6 7 .,101011111101,9,3.6111,C D E F F# G G# A B .,(L) (L) (s) (L-s) (s) (L-s) (s) (L) (s),9-9-2 .,C D E F G,Dm Em Am Bm,C+,G#dim Bdim
Theoretical - No Known Name,,1 2 3b 3 4 4# 5 6 7 .,101111110101,9,3.6111,C D Eb E F F# G A B .,(L) (s) (L-s) (s) (L-s) (s) (L) (L) (s),9-2-4 .,C D F G,Cm Dm Em Am Bm,Eb+,Adim Bdim
Theoretical - No Known Name,,1 2b 3b 4 5b 6b 6 7b .,110101111110,9,3.6111,C Db Eb F Gb G Ab A Bb  .,(s) (L) (L) (s) (L-s) (s) (L-s) (L) (s),9-9-7 .,Db F Gb Ab,Ebm Fm Bbm,Db+,Cdim Adim
Theoretical - No Known Name,,1 2b 3b 4b 5b 6b 7bb 7b 8b .,110110101111,9,3.6111,C Db Eb Fb Gb Ab Bbb Bb Cb .,(s) (L) (s) (L) (L) (s) (L-s) (s) (L-s),9-9-10 .,Fb Gb Ab Bbb Cb,Dbm Ebm Gbm Abm,Fb+ Bbb+ Cb+,Cdim Ebdim Bbdim
Theoretical - No Known Name,,1 2b 3b 4b 4 5b 5 6b 7b .,110111111010,9,3.6111,C Db Eb Fb F Gb G Ab Bb .,(s) (L) (s) (L-s) (s) (L-s) (s) (L) (L),9-2-9 .,Db Eb Gb Ab,Cm Dbm Ebm Fm Bbm,Fb+,Cdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 3 4# 5 6 7b 7 .,111010110111,9,3.6111,C C# D E F# G A Bb B .,(L-s) (s) (L) (L) (s) (L) (s) (L-s) (s),9-2-3 .,C D G A,Em F#m Gm Am Bm,Bb+,C#dim Edim F#dim
Theoretical - No Known Name,,1 2b 2 3b 4 5b 6b 7b 8b .,111101101011,9,3.6111,C Db D Eb F Gb Ab Bb Cb .,(s) (L-s) (s) (L) (s) (L) (L) (s) (L-s),9-9-8 .,Db Gb Ab Bb Cb,Ebm Fm Abm Bbm,Gb+ Cb+,Cdim Ddim Fdim
Full Minor all flats,Raga Pilu,1 2 3b 4 5 6b 6 7b 7 .,101101011111,9,3.6111,C D Eb F G Ab A Bb B .,(L) (s) (L) (L) (s) (L-s) (s) (L-s) (s),9-9-5 .,Eb F G Ab Bb,Cm Dm Fm Gm,Eb+,Ddim Adim Bdim
Theoretical - No Known Name,,1 2b 2 3b 4 5 6b 7b 8b .,111101011011,9,3.6111,C Db D Eb F G Ab Bb Cb .,(s) (L-s) (s) (L) (L) (s) (L) (s) (L-s),9-2-8 .,Db Eb Ab Bb,Cm Fm Gm Abm Bbm,Cb+,Ddim Fdim Gdim
Theoretical - No Known Name 4# s,,1 1# 2 2# 3 4# 5# 6 7 .,111110101101,9,3.6111,C C# D D# E F# G# A B .,(L-s) (s) (L-s) (s) (L) (L) (s) (L) (s),9-2-1 .,D E A B,C#m F#m G#m Am Bm,C+,D#dim F#dim G#dim
Chromatic Hypophrygian Inverse,,1 1# 2 4 4# 5 6 .,111001110100,7,3.619,C C# D F F# G A .,(L-s) (s) (L+s) (L-s) (s) (L) (L+s),8-67-2 .,D F,Dm F#m,F+,F#dim
Chromatic Phrygian Inverse,,1 1# 2 3 5 5# 6 .,111010011100,7,3.619,C C# D E G G# A .,(L-s) (s) (L) (L+s) (L-s) (s) (L+s),8-67-1 .,C A,C#m Am,C+,C#dim
Chromatic Hypodorian,"Raga Dvigandharabushini Relative Blues scale,",1 2 3b 3 5 6b 6 .,101110011100,7,3.619,C D Eb E G Ab A .,(L) (s) (L-s) (L+s) (s) (L-s) (L+s),8-34-5 .,C Ab,Cm Am,Ab+,Adim
Blues Minor ( same as 7/23/7 in 12edo),Raga Nileshwari,1 3b 4 4# 5 7b .,100101110010,6,3.6667,C Eb F F# G Bb .,(L+s) (L) (L-s) (s) (L+s) (L),9-6789-4 .,Eb,Cm,,
Major Blues (as 7/23/4 in 12edo),Blues Dorian Hexatonic,1 2 2# 3 5 6 .,101110010100,6,3.6667,C D D# E G A .,(L) (L-s) (s) (L+s) (L) (L+s),9-6789-1 .,C,Am,,
Messiaen Mode 7,(4# s & b7)as 10/6/1 in 12edo,1 1# 2 2# 3 4# 5 5# 6 7b .,111110111110,10,3.6667,C C# D D# E F# G G# A Bb .,(L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (s) (L),11-28-3 .,C D A,C#m F#m Gm Am,C+ Bb+,C#dim D#dim Edim F#dim
Raga Vijayanagari,,1 2 3b 4# 5 6 .,101100110100,6,3.6667,C D Eb F# G A .,(L) (s) (2L-s) (s) (L) (L+s),9-2389-4 .,D,Cm,,Adim
Theoretical - No Known Name,,1 4# 5 7 .,100000110001,4,3.6667,C F# G B .,(3L) (s) (2L) (s),6-345-1 .,,,,
Theoretical - No Known Name,,1 3 4 7 .,100011000001,4,3.6667,C E F B .,(2L) (s) (3L) (s),6-345-2 .,,,,
Theoretical - No Known Name,,1 2b 5 6b .,110000011000,4,3.6667,C Db G Ab .,(s) (3L) (s) (2L),6-345-6 .,,,,
Theoretical - No Known Name,,1 2b 4 5b .,110001100000,4,3.6667,C Db F Gb .,(s) (2L) (s) (3L),6-345-7 .,,,,
Theoretical - No Known Name (as 7/4567/8 in 12edo),,1 1# 4# 7 .,110000100001,4,3.6667,C C# F# B .,(L-s) (2L+s) (2L+s) (s),7-2345-1 .,,,,
Theoretical - No Known Name (as 7/4567/1 in 12edo),,1 2b 2 5 .,111000010000,4,3.6667,C Db D G .,(s) (L-s) (2L+s) (2L+s),7-2345-6 .,,,,
Theoretical - No Known Name as 7/4567/2 in 12edo),,1 4 5b 5 .,100001110000,4,3.6667,C F Gb G .,(2L+s) (s) (L-s) (2L+s),7-2345-7 .,,,,
Theoretical - No Known Name (as 7/4567/3in 12edo),,1 4 7b 8b .,100001000011,4,3.6667,C F Bb Cb .,(2L+s) (2L+s) (s) (L-s),7-2345-8 .,,,,
Theoretical - No Known Name,,1 1# 2 6 .,111000000100,4,3.6667,C C# D A .,(L-s) (s) (3L+s) (L+s),7-2567-1 .,,,,
Theoretical - No Known Name,,1 5 7b 7 .,100000010011,4,3.6667,C G Bb B .,(3L+s) (L+s) (L-s) (s),7-2567-3 .,,,,
Theoretical - No Known Name,,1 3b 3 4 .,100111000000,4,3.6667,C Eb E F .,(L+s) (L-s) (s) (3L+s),7-2567-4 .,,,,
Theoretical - No Known Name,,1 2b 6b 8b .,110000001001,4,3.6667,C Db Ab Cb .,(s) (3L+s) (L+s) (L-s),7-2567-8 .,,,,
Theoretical - No Known Name,,1 1# 2 5 .,111000010000,4,3.6667,C C# D G .,(L-s) (s) (2L+s) (2L+s),7-4567-1 .,,,,
Theoretical - No Known Name,,1 4 4# 5 .,100001110000,4,3.6667,C F F# G .,(2L+s) (L-s) (s) (2L+s),7-4567-2 .,,,,
Theoretical - No Known Name,,1 4 7b 7 .,100001000011,4,3.6667,C F Bb B .,(2L+s) (2L+s) (L-s) (s),7-4567-3 .,,,,
Theoretical - No Known Name,,1 2b 5b 8b .,110000100001,4,3.6667,C Db Gb Cb .,(s) (2L+s) (2L+s) (L-s),7-4567-8 .,,,,
Symmetrical Decatonic,,1 1# 2 3 4 4# 5 5# 6# 7 .,111011111011,10,3.6667,C C# D E F F# G G# A# B .,(L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (s) (s),11-511-2 .,C E F# G,C#m Em Bm,C+ D+,C#dim G#dim A#dim Bdim
Raga Bhinna Pancama (India),,1 2 4 5 6b 7 .,101001011001,6,3.6667,C D F G Ab B .,(L) (L+s) (L) (s) (2L-s) (s),9-2389-5 .,G,Fm,,Ddim Bdim
Messiaen Mode 7 all b,respelling,1 2b 2 3b 4 5b 5 6b 6 7 .,111101111101,10,3.6667,C Db D Eb F Gb G Ab A B .,(L-s) (s) (s) (L) (s) (L-s) (s) (L-s) (L) (s),11-511-7 .,Db F G Ab,Cm Dm Fm,Db+ Eb+,Cdim Ddim Adim Bdim
Theoretical - No Known Name,,1 5 6b 6 .,100001001100,4,3.6667,C F Ab A  .,(2L+s) (L+s) (L-s) (L+s),7-2367-5 .,,,,
Theoretical - No Known Name,,1 4 5 6b 7b 7 .,100001011011,6,3.6667,C F G Ab Bb B .,(2L+s) (L) (s) (L) (L-s) (s),9-2789-5 .,,Fm,,
Theoretical - No Known Name,,1 3b 3 5 .,100110010000,4,3.6667,C Eb E G  .,(L+s) (L-s) (L+s) (2L+s),7-2367-4 .,C,Cm,,
Theoretical - No Known Name,,1 2 5 6b 6 7 .,101000011101,6,3.6667,C D G Ab A B .,(L) (2L+s) (s) (L-s) (L) (s),9-2349-5 .,G,,,
Theoretical - No Known Name,,1 2b 4 5 7b 7 .,110001010011,6,3.6667,C Db F G Bb B .,(s) (2L) (L) (L+s) (L-s) (s),9-2389-6 .,,Bbm,,Gdim
Theoretical - No Known Name,,1 1# 3 7 .,110010000001,4,3.6667,C C# E B .,(L-s) (L+s) (3L+s) (s),7-2347-1 .,,,,
Theoretical - No Known Name,,1 1# 3 6 .,110010000100,4,3.6667,C C# E A .,(L-s) (L+s) (2L+s) (L+s),7-2367-1 .,A,Am,,
Theoretical - No Known Name,,1 2b 3b 5b 6 8b .,110100100101,6,3.6667,C Db Eb Gb A Cb .,(s) (L) (L+s) (2L-s) (2s) (L-s),10-467910-8 .,Cb,,Cb+,Cdim Adim
All except D and G - 2 and 5,,1 2b 3b 4b 4 5b 6b 7bb 7b 8b .,110111101111,10,3.6667,C Db Eb Fb F Gb Ab Bbb Bb Cb .,(s) (L) (s) (L-s) (s) (L) (s) (L-s) (s) (L-s),9-0-10 .,Db Fb Gb Ab Bbb Cb,Dbm Ebm Fm Gbm Abm Bbm,Fb+ Bbb+ Cb+,Cdim Ebdim Fdim Bbdim
All except D and A - 2 and 6,,1 2b 3b 4b 4 5b 5 6b 7b 8b .,110111111011,10,3.6667,C Db Eb Fb F Gb G Ab Bb Cb .,(s) (L) (s) (L-s) (s) (L-s) (s) (L) (s) (L-s),9-0-9 .,Db Eb Fb Gb Ab Cb,Cm Dbm Ebm Fm Abm Bbm,Fb+ Cb+,Cdim Fdim Gdim Bbdim
Theoretical - No Known Name,,1 1# 2 5 6 7b .,111000010110,6,3.6667,C C# D G A Bb .,(L-s) (s) (2L+s) (L) (s) (L),9-2789-3 .,,Gm,,
Theoretical - No Known Name,,1 2b 2 4 .,111001000000,4,3.6667,C Db D F .,(s) (L-s) (L+s) (3L+s),7-2347-6 .,,,,
All except Eb and Bb - 3b and 7b,,1 1# 2 3 4 4# 5 5# 6 7 .,111011111101,10,3.6667,C C# D E F F# G G# A B .,(L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (L) (s),9-0-2 .,C D E F G A,C#m Dm Em F#m Am Bm,C+ F+,C#dim F#dim G#dim Bdim
All except E and A - 3 and 6,,1 2b 2 3b 4 5b 5 6b 7b 8b .,111101111011,10,3.6667,C Db D Eb F Gb G Ab Bb Cb .,(s) (L-s) (s) (L) (s) (L-s) (s) (L) (s) (L-s),9-0-8 .,Db Eb Gb Ab Bb Cb,Cm Ebm Fm Gm Abm Bbm,Gb+ Cb+,Cdim Ddim Fdim Gdim
All except E and B - 3 and 7,,1 2b 2 3b 4 5b 5 6b 6 7b .,111101111110,10,3.6667,C Db D Eb F F# G Ab A Bb .,(s) (L-s) (s) (L) (s) (L-s) (s) (L-s) (s) (L),9-0-7 .,Db Eb F Gb Ab Bb,Cm Dm Ebm Fm Gm Bbm,Db+ Gb+,Cdim Ddim Gdim Adim
Messiaen Mode 7 Inverse,,1 2 3b 3 4 5b 6b 6 7b 8b .,101111101111,10,3.6667,C D Eb E F Gb Ab A Bb B .,(L) (s) (L-s) (s) (s) (L) (L-s) (s) (L-s) (s),11-28-7 .,F Ab Bb Cb,Dm Ebm Fm Abm Am,Gb+ Ab+ Cb+,Cdim Ddim Fdim Adim
All except C# and G# - 1# and 5#,Minor Pentatonic                    with leading tones,1 2 3b 3 4 4# 5 6 7b 7 .,101111110111,10,3.6667,C D Eb E F F# G A Bb B .,(L) (s) (L-s) (s) (L-s) (s) (L) (s) (L-s) (s),9-0-4 .,C D Eb F G Bb,Cm Dm Em Gm Am Bm,Eb+ Bb+,Edim Adim Bdim
All except C# and F# - 1# and 4#,Major/Minor mixed,1 2 3b 3 4 5 6b 6 7b 7 .,101111011111,10,3.6667,C D Eb E F G Ab A Bb B .,(L) (s) (L-s) (s) (L) (s) (L-s) (s) (L-s) (s),9-0-5 .,C Eb F G Ab Bb,Cm Dm Em Fm Gm Am,Eb+ Ab+,Ddim Edim Adim Bdim
All except F# and B  - 4# and 7,,1 2b 2 3b 3 4 5 6b 6 7b .,111111011110,10,3.6667,C Db D Eb E F G Ab A Bb .,(s) (L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (L),9-0-6 .,C Db Eb F Ab Bb,Cm Dm Fm Gm Am Bbm,Db+ Ab+,Ddim Edim Gdim Adim
All except F and Bb - 4 and 7b,,1 1# 2 2# 3 4# 5 5# 6 7 .,111110111101,10,3.6667,C C# D D# E F# G G# A B .,(L-s) (s) (L-s) (s) (L) (s) (L-s) (s) (L) (s),9-0-1 .,C D E G A B,C#m Em F#m G#m Am Bm,C+ G+,C#dim D#dim F#dim G#dim
